pair,n_cooccur,odds_ratio,ci_low,ci_high,p_raw,q_bh
mobilization–threat,18,29.3673,14.5834,58.2443,0.0,0.0
ig_outgroup–dehumanization,19,12.5707,5.8435,25.9369,0.0,0.0
glorification–mobilization,3,10.9248,3.2282,43.1063,0.0058,0.0144
dehumanization–glorification,1,5.6743,1.364,46.0986,0.1812,0.2718
ig_outgroup–glorification,4,4.4957,1.3873,15.6426,0.0316,0.0592
dehumanization–threat,3,4.4877,1.5902,16.1756,0.0393,0.0655
ig_outgroup–grievance,27,3.909,2.4107,6.4163,0.0,0.0
ig_outgroup–mobilization,20,3.5782,2.0771,6.2871,0.0,0.0001
grievance–mobilization,9,3.5575,1.7748,7.6855,0.0027,0.0081
ig_outgroup–threat,11,2.7019,1.3728,5.5846,0.0126,0.027
grievance–glorification,1,2.0678,0.5141,16.592,0.4105,0.5131
dehumanization–mobilization,2,1.7635,0.5744,8.0329,0.3335,0.4548
grievance–threat,2,0.9993,0.3335,4.4978,1.0,1.0
dehumanization–grievance,1,0.6328,0.177,4.8598,1.0,1.0
glorification–threat,0,0.0,0.1021,30.8103,1.0,1.0
